industry_name,employees_at_location_range,product_type,product,year,currency,spend
Manufacturing,1-4 Emp,Wireline Voice,International Long Distance Services,2010,USD,13.82559015
Manufacturing,5-9 Emp,Wireline Voice,International Long Distance Services,2010,USD,58.08995178
Manufacturing,10-24 Emp,Wireline Voice,International Long Distance Services,2010,USD,301.5370825
Manufacturing,25-49 Emp,Wireline Voice,International Long Distance Services,2010,USD,301.5370825
Manufacturing,50-99 Emp,Wireline Voice,International Long Distance Services,2010,USD,736.4544441
Manufacturing,100-249 Emp,Wireline Voice,International Long Distance Services,2010,USD,1706.577251
Manufacturing,250-499 Emp,Wireline Voice,International Long Distance Services,2010,USD,3169.039975
Manufacturing,500-999 Emp,Wireline Voice,International Long Distance Services,2010,USD,8653.757605
Manufacturing,1000-2499 Emp,Wireline Voice,International Long Distance Services,2010,USD,49858.95139
Manufacturing,2500-4999 Emp,Wireline Voice,International Long Distance Services,2010,USD,49858.95139
Manufacturing,5000-9999 Emp,Wireline Voice,International Long Distance Services,2010,USD,405205.8638
Manufacturing,10000+ Emp,Wireline Voice,International Long Distance Services,2010,USD,405205.8638
Construction,1-4 Emp,Wireline Voice,International Long Distance Services,2010,USD,7.122328179
Construction,5-9 Emp,Wireline Voice,International Long Distance Services,2010,USD,45.9302188
Construction,10-24 Emp,Wireline Voice,International Long Distance Services,2010,USD,167.9336198
Construction,25-49 Emp,Wireline Voice,International Long Distance Services,2010,USD,167.9336198
Construction,50-99 Emp,Wireline Voice,International Long Distance Services,2010,USD,530.10202
Construction,100-249 Emp,Wireline Voice,International Long Distance Services,2010,USD,1406.457294
Construction,250-499 Emp,Wireline Voice,International Long Distance Services,2010,USD,4559.421786
Construction,500-999 Emp,Wireline Voice,International Long Distance Services,2010,USD,12852.80866
Construction,1000-2499 Emp,Wireline Voice,International Long Distance Services,2010,USD,65937.18906
Construction,2500-4999 Emp,Wireline Voice,International Long Distance Services,2010,USD,65937.18906
Construction,5000-9999 Emp,Wireline Voice,International Long Distance Services,2010,USD,346421.974
Construction,10000+ Emp,Wireline Voice,International Long Distance Services,2010,USD,346421.974
Wholesale Trade,1-4 Emp,Wireline Voice,International Long Distance Services,2010,USD,9.294906269
Wholesale Trade,5-9 Emp,Wireline Voice,International Long Distance Services,2010,USD,59.35855033
Wholesale Trade,10-24 Emp,Wireline Voice,International Long Distance Services,2010,USD,217.699967
Wholesale Trade,25-49 Emp,Wireline Voice,International Long Distance Services,2010,USD,217.699967
Wholesale Trade,50-99 Emp,Wireline Voice,International Long Distance Services,2010,USD,697.9755561
Wholesale Trade,100-249 Emp,Wireline Voice,International Long Distance Services,2010,USD,1761.206536
Wholesale Trade,250-499 Emp,Wireline Voice,International Long Distance Services,2010,USD,5651.125858
Wholesale Trade,500-999 Emp,Wireline Voice,International Long Distance Services,2010,USD,16071.20027
Wholesale Trade,1000-2499 Emp,Wireline Voice,International Long Distance Services,2010,USD,85528.90066
Wholesale Trade,2500-4999 Emp,Wireline Voice,International Long Distance Services,2010,USD,85528.90066
Wholesale Trade,5000-9999 Emp,Wireline Voice,International Long Distance Services,2010,USD,606126.8725
Wholesale Trade,10000+ Emp,Wireline Voice,International Long Distance Services,2010,USD,606126.8725
Retail Trade,1-4 Emp,Wireline Voice,International Long Distance Services,2010,USD,8.080066454
Retail Trade,5-9 Emp,Wireline Voice,International Long Distance Services,2010,USD,51.44618289
Retail Trade,10-24 Emp,Wireline Voice,International Long Distance Services,2010,USD,208.7739508
Retail Trade,25-49 Emp,Wireline Voice,International Long Distance Services,2010,USD,208.7739508
Retail Trade,50-99 Emp,Wireline Voice,International Long Distance Services,2010,USD,691.1927696
Retail Trade,100-249 Emp,Wireline Voice,International Long Distance Services,2010,USD,1015.916625
Retail Trade,250-499 Emp,Wireline Voice,International Long Distance Services,2010,USD,2310.418505
Retail Trade,500-999 Emp,Wireline Voice,International Long Distance Services,2010,USD,7560.223718
Retail Trade,1000-2499 Emp,Wireline Voice,International Long Distance Services,2010,USD,68554.24294
Retail Trade,2500-4999 Emp,Wireline Voice,International Long Distance Services,2010,USD,68554.24294
Retail Trade,5000-9999 Emp,Wireline Voice,International Long Distance Services,2010,USD,1663877.018
Retail Trade,10000+ Emp,Wireline Voice,International Long Distance Services,2010,USD,1663877.018
Nonclassified Establishments,1-4 Emp,Wireline Voice,International Long Distance Services,2010,USD,7.187003817
Nonclassified Establishments,5-9 Emp,Wireline Voice,International Long Distance Services,2010,USD,46.34729677
Nonclassified Establishments,10-24 Emp,Wireline Voice,International Long Distance Services,2010,USD,169.4585726
Nonclassified Establishments,25-49 Emp,Wireline Voice,International Long Distance Services,2010,USD,169.4585726
Nonclassified Establishments,50-99 Emp,Wireline Voice,International Long Distance Services,2010,USD,534.9157109
Nonclassified Establishments,100-249 Emp,Wireline Voice,International Long Distance Services,2010,USD,1419.228893
Nonclassified Establishments,250-499 Emp,Wireline Voice,International Long Distance Services,2010,USD,4600.824472
Nonclassified Establishments,500-999 Emp,Wireline Voice,International Long Distance Services,2010,USD,12969.521
Nonclassified Establishments,1000-2499 Emp,Wireline Voice,International Long Distance Services,2010,USD,66535.94408
Nonclassified Establishments,2500-4999 Emp,Wireline Voice,International Long Distance Services,2010,USD,66535.94408
Nonclassified Establishments,5000-9999 Emp,Wireline Voice,International Long Distance Services,2010,USD,349567.7237
Nonclassified Establishments,10000+ Emp,Wireline Voice,International Long Distance Services,2010,USD,349567.7237
Transportation and Public Utilities,1-4 Emp,Wireline Voice,International Long Distance Services,2010,USD,17.74660234
Transportation and Public Utilities,5-9 Emp,Wireline Voice,International Long Distance Services,2010,USD,75.51566111
Transportation and Public Utilities,10-24 Emp,Wireline Voice,International Long Distance Services,2010,USD,358.719409
Transportation and Public Utilities,25-49 Emp,Wireline Voice,International Long Distance Services,2010,USD,358.719409
Transportation and Public Utilities,50-99 Emp,Wireline Voice,International Long Distance Services,2010,USD,979.8323277
Transportation and Public Utilities,100-249 Emp,Wireline Voice,International Long Distance Services,2010,USD,2905.414777
Transportation and Public Utilities,250-499 Emp,Wireline Voice,International Long Distance Services,2010,USD,7379.517558
Transportation and Public Utilities,500-999 Emp,Wireline Voice,International Long Distance Services,2010,USD,25846.37583
Transportation and Public Utilities,1000-2499 Emp,Wireline Voice,International Long Distance Services,2010,USD,134514.2172
Transportation and Public Utilities,2500-4999 Emp,Wireline Voice,International Long Distance Services,2010,USD,134514.2172
Transportation and Public Utilities,5000-9999 Emp,Wireline Voice,International Long Distance Services,2010,USD,1312780.761
Transportation and Public Utilities,10000+ Emp,Wireline Voice,International Long Distance Services,2010,USD,1312780.761
"Finance, Insurance, and Real Estate",1-4 Emp,Wireline Voice,Voice Connectivity,2010,USD,1019.174668
"Finance, Insurance, and Real Estate",5-9 Emp,Wireline Voice,Voice Connectivity,2010,USD,940.8494862
"Finance, Insurance, and Real Estate",10-24 Emp,Wireline Voice,Voice Connectivity,2010,USD,3337.31617
"Finance, Insurance, and Real Estate",25-49 Emp,Wireline Voice,Voice Connectivity,2010,USD,3337.31617
"Finance, Insurance, and Real Estate",50-99 Emp,Wireline Voice,Voice Connectivity,2010,USD,11703.76406
"Finance, Insurance, and Real Estate",100-249 Emp,Wireline Voice,Voice Connectivity,2010,USD,22573.53043
"Finance, Insurance, and Real Estate",250-499 Emp,Wireline Voice,Voice Connectivity,2010,USD,47933.02487
"Finance, Insurance, and Real Estate",500-999 Emp,Wireline Voice,Voice Connectivity,2010,USD,100577.9096
"Finance, Insurance, and Real Estate",1000-2499 Emp,Wireline Voice,Voice Connectivity,2010,USD,398623.7336
"Finance, Insurance, and Real Estate",2500-4999 Emp,Wireline Voice,Voice Connectivity,2010,USD,398623.7336
"Finance, Insurance, and Real Estate",5000-9999 Emp,Wireline Voice,Voice Connectivity,2010,USD,2597599.675
"Finance, Insurance, and Real Estate",10000+ Emp,Wireline Voice,Voice Connectivity,2010,USD,2597599.675
Public Administration,1-4 Emp,Wireline Voice,Voice Connectivity,2010,USD,224.3862571
Public Administration,5-9 Emp,Wireline Voice,Voice Connectivity,2010,USD,477.4566095
Public Administration,10-24 Emp,Wireline Voice,Voice Connectivity,2010,USD,1786.139848
Public Administration,25-49 Emp,Wireline Voice,Voice Connectivity,2010,USD,1786.139848
Public Administration,50-99 Emp,Wireline Voice,Voice Connectivity,2010,USD,9030.569637
Public Administration,100-249 Emp,Wireline Voice,Voice Connectivity,2010,USD,29818.72517
Public Administration,250-499 Emp,Wireline Voice,Voice Connectivity,2010,USD,62307.75677
Public Administration,500-999 Emp,Wireline Voice,Voice Connectivity,2010,USD,220648.2229
Public Administration,1000-2499 Emp,Wireline Voice,Voice Connectivity,2010,USD,944958.7426
Public Administration,2500-4999 Emp,Wireline Voice,Voice Connectivity,2010,USD,944958.7426
Public Administration,5000-9999 Emp,Wireline Voice,Voice Connectivity,2010,USD,3962893.628
Public Administration,10000+ Emp,Wireline Voice,Voice Connectivity,2010,USD,3962893.628
Services,1-4 Emp,Wireline Voice,Voice Connectivity,2010,USD,889.4007214
Services,5-9 Emp,Wireline Voice,Voice Connectivity,2010,USD,1224.109303
Services,10-24 Emp,Wireline Voice,Voice Connectivity,2010,USD,3517.214465
Services,25-49 Emp,Wireline Voice,Voice Connectivity,2010,USD,3517.214465
Services,50-99 Emp,Wireline Voice,Voice Connectivity,2010,USD,8423.68157
Services,100-249 Emp,Wireline Voice,Voice Connectivity,2010,USD,13519.06436
Services,250-499 Emp,Wireline Voice,Voice Connectivity,2010,USD,32063.79696
Services,500-999 Emp,Wireline Voice,Voice Connectivity,2010,USD,85384.89482
Services,1000-2499 Emp,Wireline Voice,Voice Connectivity,2010,USD,279655.5126
Services,2500-4999 Emp,Wireline Voice,Voice Connectivity,2010,USD,279655.5126
Services,5000-9999 Emp,Wireline Voice,Voice Connectivity,2010,USD,1312288.837
Services,10000+ Emp,Wireline Voice,Voice Connectivity,2010,USD,1312288.837
"Agriculture, Forestry, and Fishing plus Mining",1-4 Emp,Wireline Voice,Voice Connectivity,2010,USD,516.9928411
"Agriculture, Forestry, and Fishing plus Mining",5-9 Emp,Wireline Voice,Voice Connectivity,2010,USD,876.1469699
"Agriculture, Forestry, and Fishing plus Mining",10-24 Emp,Wireline Voice,Voice Connectivity,2010,USD,2385.23453
"Agriculture, Forestry, and Fishing plus Mining",25-49 Emp,Wireline Voice,Voice Connectivity,2010,USD,2385.23453
"Agriculture, Forestry, and Fishing plus Mining",50-99 Emp,Wireline Voice,Voice Connectivity,2010,USD,5731.18113
"Agriculture, Forestry, and Fishing plus Mining",100-249 Emp,Wireline Voice,Voice Connectivity,2010,USD,8601.492128
"Agriculture, Forestry, and Fishing plus Mining",250-499 Emp,Wireline Voice,Voice Connectivity,2010,USD,24386.97204
"Agriculture, Forestry, and Fishing plus Mining",500-999 Emp,Wireline Voice,Voice Connectivity,2010,USD,61724.48382
