location,sub_product,infousa_industry,infousa_size,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Paris, France",Ethernet,Public Administration,1-9 Emp,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paris, France",Ethernet,Wholesale & retail trade,1-9 Emp,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paris, France",Ethernet,Services,1-9 Emp,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paris, France",Ethernet,Transportation and Public Utilities,1-9 Emp,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paris, France",Ethernet,"Agriculture, Forestry, and Fishing plus mining",10-49 Emp,24.81181149,28.56723721,34.34352751,39.23582483,42.95798959,46.10774314,49.08513223,51.88686623,54.63745652,57.3107573,59.70579014,61.85560548,63.72650617
"Paris, France",Ethernet,Construction,10-49 Emp,26.65043442,30.71010491,36.96426176,42.29656764,46.37006092,49.83478708,53.12144716,56.2276313,59.28786789,62.27289252,64.9638042,67.39548399,69.53016529
"Paris, France",Ethernet,"Finance, Insurance, and Real Estate",10-49 Emp,39.777182,46.27494229,56.67699022,65.52640502,72.69622425,79.07239508,85.34553836,91.44753805,97.59365665,103.7430213,109.5233153,114.9775359,120.0258822
"Paris, France",Ethernet,Manufacturing,10-49 Emp,42.83663049,48.95689211,57.97956443,64.91654365,70.46948101,74.80312508,78.79890426,81.89708051,85.03106505,87.91335511,90.24356767,92.08805346,93.41260863
"Paris, France",Ethernet,Nonclassified Establishments,10-49 Emp,26.72894062,30.7979158,37.06979058,42.41038795,46.48851097,49.95272962,53.23463707,56.34522561,59.40374277,62.3860185,65.07280723,67.49915835,69.62735392
"Paris, France",Ethernet,Public Administration,10-49 Emp,24.5933477,28.6796142,35.17849015,40.55118659,44.97699567,48.71752123,52.2896032,56.16623973,59.85620381,63.5390393,66.98725684,70.22826262,73.21437871
"Paris, France",Ethernet,Wholesale & retail trade,10-49 Emp,29.61237692,34.18273453,41.28447718,47.3578598,52.06193568,56.07482692,59.89753448,63.58932124,67.22330534,70.7908218,74.04189629,77.0139435,79.66153113
"Paris, France",Ethernet,Services,10-49 Emp,39.69011055,46.20882818,56.65942565,65.63467367,72.74973286,79.05506058,85.20289285,91.46337023,97.62586493,103.793251,109.5929338,115.067738,120.1376083
"Paris, France",Ethernet,Transportation and Public Utilities,10-49 Emp,44.21698884,51.18002096,62.4709589,71.30703519,78.60682616,84.71931669,90.56023156,96.493968,102.2017856,107.8295166,112.9951391,117.7531562,122.0315859
"Paris, France",Ethernet,"Agriculture, Forestry, and Fishing plus mining",50-249 Emp,689.9583963,774.52823,928.8154464,1057.046392,1151.508093,1227.827846,1297.106093,1359.96117,1419.030881,1474.174473,1519.429866,1556.061263,1583.355878
"Paris, France",Ethernet,Construction,50-249 Emp,763.921938,859.3762233,1032.972818,1179.615062,1288.405304,1377.571818,1459.081625,1534.156625,1605.306404,1672.433117,1728.722734,1775.527377,1811.951463
