city,country,product,sub_product,infousa_industry,infousa_size,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Frankfurt,Germany,,Internet Access,Services,250+ Emp,28728.50511,28264.76651,27925.69025,27793.83912,28248.81524,28730.02805,29175.09083,29600.03029,29951.64288,30234.18513,30463.53877,30632.56997,30741.61192
Frankfurt,Germany,,Internet Access,Transportation and Public Utilities,250+ Emp,68868.06644,66912.10159,65274.9152,63698.72766,63926.46726,64040.10863,64058.46671,64049.16939,63852.18241,63501.08321,63035.36561,62445.47537,61737.58186
Frankfurt,Germany,,Ethernet,"Agriculture, Forestry, and Fishing plus mining",1-9 Emp,0,0,0,0,0,0,0,0,0,0,0,0,0
Frankfurt,Germany,,Ethernet,Construction,1-9 Emp,0,0,0,0,0,0,0,0,0,0,0,0,0
Frankfurt,Germany,,Ethernet,"Finance, Insurance, and Real Estate",1-9 Emp,0,0,0,0,0,0,0,0,0,0,0,0,0
Frankfurt,Germany,,Ethernet,Manufacturing,1-9 Emp,0,0,0,0,0,0,0,0,0,0,0,0,0
Frankfurt,Germany,,Ethernet,Nonclassified Establishments,1-9 Emp,0,0,0,0,0,0,0,0,0,0,0,0,0
Frankfurt,Germany,,Ethernet,Public Administration,1-9 Emp,0,0,0,0,0,0,0,0,0,0,0,0,0
Frankfurt,Germany,,Ethernet,Wholesale & retail trade,1-9 Emp,0,0,0,0,0,0,0,0,0,0,0,0,0
Frankfurt,Germany,,Ethernet,Services,1-9 Emp,0,0,0,0,0,0,0,0,0,0,0,0,0
Frankfurt,Germany,,Ethernet,Transportation and Public Utilities,1-9 Emp,0,0,0,0,0,0,0,0,0,0,0,0,0
Frankfurt,Germany,,Ethernet,"Agriculture, Forestry, and Fishing plus mining",10-49 Emp,14.87580579,18.32528068,21.64985105,24.52088941,27.19256305,29.55748502,31.74415171,33.65867009,35.38090235,36.81461887,37.87063333,38.53213993,38.77496961
Frankfurt,Germany,,Ethernet,Construction,10-49 Emp,15.97814359,19.69988515,23.30193837,26.43373657,29.35241656,31.94671594,34.35450209,36.47449595,38.39231176,40.00213768,41.20572565,41.98313474,42.30625854
Frankfurt,Germany,,Ethernet,"Finance, Insurance, and Real Estate",10-49 Emp,23.84822384,29.68440034,35.7286652,40.95149619,46.01697333,50.68955829,55.1943449,59.32141865,63.1975179,66.64123753,69.4692643,71.6237513,73.03083464
Frankfurt,Germany,,Ethernet,Manufacturing,10-49 Emp,25.6825019,31.40481463,36.54979628,40.57035616,44.60743679,47.95273198,50.96053037,53.12609943,55.06251574,56.47276034,57.24036234,57.36504774,56.8377474
Frankfurt,Germany,,Ethernet,Nonclassified Establishments,10-49 Emp,16.02521161,19.75621399,23.36846278,26.50486991,29.42739587,32.02232331,34.42770384,36.5507786,38.46734742,40.07480623,41.27486491,42.04771733,42.36539384
