building_id,s_ocn,cust_name,man_employee_total,db_country_name,db_nace_code,db_employee_here,db_employee_total,db_sic_code,db_industry,db_industry_level_1,db_industry_level_2,db_industry_level_3,gl_revenue_year_2014,db_duns,sfdc_account_name,carrier_voice,colocation,colt_total,customer_asset_sales_data,customer_asset_sales_managed_services,data_centre_services,data_centre_services_installation_adjustment,data_installation_adjustment,dedicated_hosting,ethernet_point_to_point,ethernet_vpn,high_speed_service,incoming,in_services,intercompany_voice,internet_access,ip_voice,ipvpn_corporate,link,managed_service_installation_adjustment,other_bandwidth,other_misc_data,other_voice,professional_services,reseller_voice,shared_hosting,voice_connect,voice_line,others,channel
DEESC-0000000465,WAT01,WATERS GMBH,166,GERMANY,33.2,0,166,3829,Manufacturing,20..39 - Manufacturing,"38 - Measuring, Analyzing & Controlling Instruments",Measuring & controlling devices N.E.C.,0,341963148,Waters GmbH,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AGENTS
DEESC-0000000690,632202,DEPFA-BANK EUROPE PLC.,0,GERMANY,65.11,1,0,6029,"Finance, Insurance & Real Estate","60..67 - Finance, Insurance & Real Estate",60 - Depository Institutions,"Commercial banks, N.E.C.",1920,333901150,DePfa-Bank plc.,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1920.00,0.00,TELESALES
DEESC-0000000690,895491,Monster Worldwide Limited,320,ENGLAND,74.4,0,320,7311,Services,70..89 - Services,73 - Business Services,Advertising agencies,255154.84,295181580,Monster Worldwide Limited,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,147311.09,0.00,0.00,0.00,0.00,0.00,76283.76,0.00,0.00,31559.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
DEESC-0000000690,3989122,HEWLETT-PACKARD,0,FRANCE,74.15,0,0,6719,"Finance, Insurance & Real Estate","60..67 - Finance, Insurance & Real Estate",67 - Holding & Other Investment Offices,Offices of holding companies N.E.C.,0,265159843,HEWLETT-PACKARD,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
DEESC-0000000690,4217439,SIEMENS HEALTHCARE DIAGNOSTICS GMBH,506,GERMANY,51.46,506,506,5122,Wholesale Trade,50..51 - Wholesale Trade,51 - Wholesale Trade - Non durable Goods,"Drugs, proprietaries & sundries",9264.25,318087723,Siemens Healthcare Diagnostics GmbH,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5180.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2163.77,1920.19,0.00,0
DEESC-0000000690,4236424,SIEMENS HEALTHCARE DIAGNOSTICS HOLDING GMBH,78,GERMANY,0,0,78,6719,"Finance, Insurance & Real Estate","60..67 - Finance, Insurance & Real Estate",67 - Holding & Other Investment Offices,Offices of holding companies N.E.C.,47064.53,537500316,Siemens Healthcare Diagnostics Holding GmbH,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47064.53,0.00,AGENTS
DEESC-0000000690,DE43313,TM MITTELSTAND GMBH,2000,GERMANY,72.22,0,2000,7371,Services,70..89 - Services,73 - Business Services,Computer programming services,2025025.29,328200803,tm Mittelstand GmbH,23429.81,18564.00,592.93,0.00,0.00,0.00,0.00,0.00,50.00,376963.86,105432.51,87741.33,0.00,10647.42,0.00,896686.36,-5967.11,0.00,58421.44,0.00,61252.65,44692.27,0.00,1146.54,36919.77,31713.27,0.00,276738.30,0.00,FRANCHISE
DEESC-0000000934,4021383,CONTINENTAL AUTOMOTIVE GMBH,2,GERMANY,74.14,0,2,8741,Services,70..89 - Services,"87 - Engineering, Accounting, Research, Management & Related Services",Management services,581356.26,537264137,Continental Automotive GmbH,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,275610.24,264946.02,40800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
DEESC-0000001567,603227,EUROHYPO AG(DE),983,GERMANY,65.11,0,983,6029,"Finance, Insurance & Real Estate","60..67 - Finance, Insurance & Real Estate",60 - Depository Institutions,"Commercial banks, N.E.C.",50967.75,320212350,Eurohypo AG,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50967.75,0.00,0
DEESC-0000001567,COM01,COMMERZBANK AG,0,GERMANY,65.11,0,0,6029,"Finance, Insurance & Real Estate","60..67 - Finance, Insurance & Real Estate",60 - Depository Institutions,"Commercial banks, N.E.C.",4417369.06,328455329,Commerzbank AG,0,43200.00,0.00,0.00,0.00,0.00,0.00,0.00,76260.00,876777.63,0.00,0.00,0.00,98127.00,0.00,30822.65,2165.49,2871743.05,52935.81,0.00,0.00,113092.76,0.00,212763.03,0.00,0.00,0.00,39481.64,0.00,0
