region,department,city_code,coverage_cities,co_nickname,ft_co_id,address,zip_code,city,full_address,xng_site_name,xng_site_id,lat,lon
Ile de France,75,PARIS 16,75016 Paris,PALAIS ROSE,75116PLR,11 rue Piccini,75016,PARIS,"75116PLR, PALAIS ROSE, 11 rue Piccini, 75016 PARIS",FR_75016_RUE PICCINI_11_INC_DPAGE,PAR01774/01_CAA PALAIS ROSE 2,48.8743385,2.2848152
Ile de France,75,PARIS 16,75016 Paris,POMPE,75116PPE,37 rue de La Pompe,75016,PARIS,"75116PPE, POMPE, 37 rue de La Pompe, 75016 PARIS",FR_75016_RUE DE LA POMPE_37_3_DPAGE,PAR01844/01_CL4 POMPE,48.8611134,2.2752331
Ile de France,75,PARIS 10,75010 Paris,PROVENCE,75109PRO,17 rue du Faubourg Poissonnière,75010,PARIS,"75109PRO, PROVENCE, 17 rue du Faubourg Poissonnière, 75010 PARIS",FR_75010_RUE DU FAUBOURG POISSONNIERE_17_INC_DPAGE,PAR01343/02_CAA PROVENCE,48.8722895,2.3478856
Ile de France,75,PARIS 14,75014 Paris,RASPAIL,75114RAS,rue Campagne Premiere,75014,PARIS,"75114RAS, RASPAIL, rue Campagne Premiere, 75014 PARIS",FR_75014_RUE CAMPAGNE-PREMIERE_12_INC_DPAGE,PAR01598/01_CAA RASPAIL 4 ET 5,48.8395939,2.3322698
Ile de France,75,PARIS 15,75015 Paris,ROBERT KELLER,75115RKE,6 rue de L'Ing_nieur Robert Keller,75015,PARIS,"75115RKE, ROBERT KELLER, 6 rue de L'Ing_nieur Robert Keller, 75015 PARIS",FR_75015_RUE DE LINGENIEUR ROBERT KELLER_6_X_DPAGE,PAR01675/01_CAA ROBERTKELLER2,48.8478219,2.2810246
Ile de France,75,PARIS 07,75007 Paris,SEGUR,75107SEG,55 avenue de Saxe,75007,PARIS,"75107SEG, SEGUR, 55 avenue de Saxe, 75007 PARIS",FR_75007_AVENUE DE SAXE_55_INC_DPAGE,PAR00497/01_CAA SEGUR 3,48.846702,2.3129869
Ile de France,75,PARIS 17,75017 Paris,TERNES,75117TER,71 avenue des Ternes,75017,PARIS,"75117TER, TERNES, 71 avenue des Ternes, 75017 PARIS",FR_75017_AVENUE DES TERNES_71_INC_DPAGE,PAR02033/03_CAA TERNES DEGROUP,48.8793423,2.2899143
Ile de France,75,PARIS 09,75009 Paris,TRUDAINE,75109TRU,20 rue de Navarin,75009,PARIS,"75109TRU, TRUDAINE, 20 rue de Navarin, 75009 PARIS",FR_75009_RUE DE NAVARIN_20_INC_DPAGE,PAR01158/02_CAA TRUDAINE 5&6,48.880171,2.3385088
Ile de France,75,PARIS 01,75001 Paris,TUILERIES,75101TUI,1 avenue du G_n_ral Lemonnier,75001,PARIS,"75101TUI, TUILERIES, 1 avenue du G_n_ral Lemonnier, 75001 PARIS",FR_75001_AVENUE DU GENERAL LEMONNIER_1_INC_DPAGE,PAR00076/02_CAA TUILERIES,48.8612672,2.3301733
Ile de France,75,PARIS 15,75015 Paris,VAUGIRARD,75115VAU,12 rue Jobbe Duval,75015,PARIS,"75115VAU, VAUGIRARD, 12 rue Jobbe Duval, 75015 PARIS",FR_75015_RUE JOBBE DUVAL_12_INC_DPAGE,PAR01745/01_CL4 VAUGIRARD,48.8348216,2.2985085
